relative_day,up_rate,up_cat,1_day_sentiment_score,1_day_news_count,past_7_days_senti_avg,past_3_days_senti_avg,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
203,0.00784103638046065,0,0.11035875933416915,1647,0.07350112790626377,0.031335853474790946,181.7608766233766,206.56,207.01,205.4,206.94,18355200,0,1,0,0,0,0,0
204,-0.0008214941528944984,0,0.11335460571771094,1219,0.06456460125275576,0.06812210658618066,138.17926436988964,205.78,207.24,205.28,206.77,14991600,0,1,0,0,0,0,0
205,-0.007931518111911857,0,0.09778742917782472,1226,0.06541972787958338,0.10590697515875098,119.88738817201312,206.99,207.33,204.84,205.13,13909600,0,1,0,0,0,0,0
206,0.0035099692877687268,0,0.0583809679677718,1921,0.07037359169621928,0.10716693140990162,112.14983946608963,205.59,207.82,205.25,205.85,17618900,0,1,0,0,0,0,0
209,0.0,0,0.07655604661897325,1172,0.06769847466026421,0.019460322655923932,89.72368663743666,206.56,208.72,206.54,207.77,21673400,0,1,0,0,0,0,0
210,-0.004283582807912667,0,0.08440253105424249,1797,0.06520540125949284,0.025518682206324417,151.67134830447375,206.86,208.24,205.42,206.88,33935700,0,1,0,0,0,0,0
211,0.020398298530549107,1,0.08585164253163956,1641,0.06149736864807475,0.05365285922440525,140.8825453944205,214.45,219.35,209.37,211.1,69281400,0,1,0,0,0,0,0
216,0.0,0,0.06407420892110936,1339,0.06784265417028404,0.031628991350491444,85.79536574536544,196.18,196.84,190.82,191.58,52393000,0,1,0,0,0,0,0
217,0.018895500574172542,1,0.03797997217284051,1595,0.06605953449916063,0.02135806964036979,60.57805561568062,194.52,196.26,192.27,195.2,35824800,0,1,0,0,0,0,0
218,0.010399590163934432,1,-0.01217888267336322,1925,0.059427740373246066,0.03401806036464996,-23.444349146224198,193.63,197.74,192.05,197.23,33364400,0,1,0,0,0,0,0
219,0.022004766009227822,1,0.047978977959136804,1638,0.04542337962967424,0.02995843280686222,78.58956589706608,198.37,201.67,197.57,201.57,27009500,0,1,0,0,0,0,0
220,-0.008235352483008367,0,0.10357762806569477,1896,0.033248750061599684,0.024593355819538032,196.3831828125573,200.22,201.67,198.22,199.91,24619700,0,1,0,0,0,0,0
223,0.0,0,0.10808965575157507,1378,0.03449027206363118,0.03452587602189826,148.94754562567044,198.55,200.97,198.08,199.41,22474900,0,1,0,0,0,0,0
224,0.04232485833207963,1,0.12733603969499102,1254,0.04077819303941199,0.03602988525052502,159.67939377751875,199.94,211.0,199.41,207.85,47218500,0,1,0,0,0,0,0
225,-0.02978109213375029,-1,0.09477089075098104,1218,0.05354334554257635,0.07847523181552203,115.4309449346949,202.07,205.33,201.51,201.66,36547400,0,1,0,0,0,0,0
