,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
82,86,0.0,0,microsoft,0.08946103896103896,0.017586959909172105,0.0,10,0.8946103896103896,115.91,116.04,114.61,115.4,18334800
83,87,0.008665511265164644,0,microsoft,0.08868578836493275,0.021026448300875526,0.02982034632034632,187,16.584242424242426,116.53,116.77,115.43,116.4,25399800
84,90,0.0,0,microsoft,0.12758466692687984,0.0254495467608531,0.029561929454977584,305,38.91332341269835,117.4,117.55,116.56,117.47,22789100
85,91,0.0013620498850770118,0,microsoft,0.12464676668315187,0.043675927750407365,0.042528222308959945,213,26.54976130351135,117.51,117.92,116.97,117.63,18142300
86,92,0.006545949162628668,0,microsoft,0.06929739325422775,0.06148260870514334,0.08407714453667724,139,9.632337662337656,118.29,118.86,117.59,118.4,22860700
87,93,-0.005067567567567639,0,microsoft,0.1623935786435786,0.07138223631289016,0.1071762756214198,263,42.70951118326117,118.53,118.66,116.83,117.8,20112800
88,94,0.004414261460101834,0,microsoft,0.1037373818991466,0.08180117055325298,0.11877924619365275,221,22.925961399711397,117.83,118.66,117.81,118.32,15826200
89,97,0.0,0,microsoft,0.04615989347730921,0.08395139820099781,0.03457912729971553,178,8.21646103896104,118.25,118.45,117.09,118.36,15116200
90,98,-0.005407232173031434,0,microsoft,0.11628897197079018,0.07231928770820199,0.01538663115910307,264,30.700288600288605,117.08,117.98,117.03,117.72,17612000
91,99,0.007645259938837969,0,microsoft,0.0784155762167126,0.07112531703500748,0.05414962181603313,220,17.251426767676772,118.2,118.78,117.98,118.62,16477200
92,100,0.0011802394199966326,0,microsoft,0.07883790229378466,0.07242791460107674,0.08028814722160399,221,17.423176406926412,118.97,119.27,118.35,118.76,14209100
93,101,0.005136409565510268,0,microsoft,0.07508852016846199,0.06049138940824904,0.09118081682709582,172,12.91522546897546,119.06,119.4,118.8,119.37,19745100
94,104,0.0,0,microsoft,0.09802836911084331,0.056398694875294086,0.02502950672282066,194,19.017503607503603,119.36,119.99,119.0,119.47,15792600
95,105,-0.002343684607014323,0,microsoft,0.08646597720461356,0.0638084771086561,0.03267612303694777,286,24.729269480519477,120.05,120.06,118.53,119.19,14071800
96,106,0.008306065945129702,0,microsoft,0.06830727882349716,0.05954804928491659,0.06149811543848562,316,21.585100108225102,119.66,120.26,118.97,120.18,19300900
97,107,0.013146946247295708,1,microsoft,0.11430671797338463,0.058104006800171526,0.08426720837965133,225,25.71901154401154,120.59,121.91,119.72,121.76,27991000
98,111,0.0,0,microsoft,0.09889947171197168,0.05244404901604838,0.0,222,21.955682720057712,121.02,122.38,120.97,122.14,15648700
99,112,0.013590961192074641,1,microsoft,0.10913058320184486,0.05256849224478101,0.032966490570657224,214,23.3539448051948,122.48,123.94,122.21,123.8,24025500
100,113,-0.003392568659127639,0,microsoft,0.11844407818644456,0.05580629310152834,0.06934335163793885,262,31.032348484848477,124.15,124.21,122.89,123.38,31257000
101,114,0.0330685686497001,1,microsoft,0.0811266912450625,0.06296869301052081,0.10882471103342035,264,21.4174464886965,128.36,129.65,127.15,127.46,38033900
102,115,0.005727286991997521,0,microsoft,0.04816844253438456,0.058228689192189084,0.10290045087778397,207,9.970867604617604,128.01,128.82,127.34,128.19,23654900
103,118,0.0,0,microsoft,0.039280321819384324,0.06510989526852974,0.016056147511461522,224,8.798792087542088,128.2,128.48,127.66,128.08,16324200
104,119,0.006324172392254636,0,microsoft,0.11001519768937798,0.056592873855302976,0.013093440606461441,244,26.843708236208226,128.11,128.99,127.7,128.89,24166500
105,120,-0.020792924198929263,-1,microsoft,0.11346795304081739,0.056719247353522,0.04976517316958743,199,22.58012265512266,128.83,128.94,126.03,126.21,26821700
106,121,-0.013073449013548781,-1,microsoft,0.08628280985032813,0.05600837233271811,0.08758782418319323,274,23.641489898989906,126.31,126.33,123.88,124.56,27350200
107,122,0.02135517019910081,1,microsoft,0.1200089733816148,0.05674496070489892,0.10325532019350785,265,31.802377946127923,125.7,127.74,125.59,127.22,24911100
108,125,0.0,0,microsoft,0.09631434809582075,0.06700789368307467,0.040002991127204936,421,40.54834054834053,124.74,126.88,124.46,126.48,24239800
109,126,-0.02055660974067053,-1,microsoft,0.13211960888573795,0.07515561172256557,0.032104782698606914,403,53.244202380952395,124.81,125.52,122.6,123.88,36017700
110,127,-8.072328059404993e-05,0,microsoft,0.11243555686737505,0.078313384750617,0.07614465232718624,308,34.63015151515152,123.8,124.72,123.12,123.87,28419000
111,128,-8.07297973682499e-05,0,microsoft,0.12253830525632849,0.07816589958298238,0.11362317128297793,258,31.61488275613275,122.67,124.15,121.96,123.86,27235800
112,129,0.012998546746326493,1,microsoft,0.08906417213833483,0.08334525606955386,0.12236449033648049,209,18.614411976911978,123.28,126.26,122.2,125.47,30915100
113,132,0.0,0,microsoft,0.06793292408866178,0.07892457017765672,0.02968805737944494,305,20.719541847041842,122.49,123.91,121.43,121.74,33944900
114,133,0.011171348776080166,1,microsoft,0.08645460656526227,0.07487008103377688,0.022644308029553927,305,26.368655002404992,122.25,124.24,122.08,123.1,25266300
115,134,0.014053614947197434,1,microsoft,0.1089743616362321,0.06834650927370892,0.05146251021797468,278,30.294872534872525,123.09,125.52,122.54,124.83,24722700
