,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
80,79,0.003868471953578426,0,facebook,0.06892776715982571,0.0207197513489811,0.02306745233523769,2341,161.35990292115198,{'$numberInt': '0'},{'$numberInt': '0'},164.89,166.39,163.75,166.08,16223000
81,80,-0.010476878612716817,-1,facebook,0.06090609607648724,0.027538818944179182,0.053151984522803015,1790,109.02191197691216,{'$numberInt': '0'},{'$numberInt': '0'},165.65,167.42,164.09,164.34,16389200
82,86,0.0,0,facebook,0.02357367870625447,0.01854769474804471,0.0,264,6.22345117845118,{'$numberInt': '0'},{'$numberInt': '0'},164.57,166.72,163.33,165.55,10689200
83,87,0.006886137118695176,0,facebook,0.06368072657409841,0.012068539254677388,0.007857892902084824,1735,110.48606060606075,{'$numberInt': '0'},{'$numberInt': '0'},166.39,167.19,164.81,166.69,13455500
84,90,0.0,0,facebook,0.059761849908673274,0.012464915040050413,0.021226908858032804,1094,65.37946380008856,{'$numberInt': '0'},{'$numberInt': '0'},167.83,168.9,167.28,168.7,10381500
85,91,0.03260225251926497,1,facebook,0.06919641274904416,0.021002322169860876,0.019920616636224426,741,51.27454184704172,{'$numberInt': '0'},{'$numberInt': '0'},170.14,174.9,169.55,174.2,23946500
86,92,-0.0037887485648679486,0,facebook,0.04731252837226734,0.0308875239911529,0.04298608755257247,1245,58.90409782347284,{'$numberInt': '0'},{'$numberInt': '0'},174.5,177.96,172.95,173.54,27590100
87,93,0.014290653451653902,1,facebook,0.07655067461268059,0.037646456615762526,0.05875693034332826,1518,116.20392406204913,{'$numberInt': '0'},{'$numberInt': '0'},176.02,178.0,175.53,176.02,17847700
88,94,-0.0017043517782070864,0,facebook,0.04003468726847452,0.045214598888109116,0.06435320524466404,1303,52.165197510822296,{'$numberInt': '0'},{'$numberInt': '0'},176.88,177.0,175.1,175.72,9594100
89,97,0.0,0,facebook,0.11381271760345298,0.04183659327301998,0.013344895756158173,1074,122.2348587061085,{'$numberInt': '0'},{'$numberInt': '0'},175.21,175.5,174.23,174.93,7297400
90,98,0.01514891670954099,1,facebook,0.04419437064870781,0.04955814580084565,0.03793757253448433,1856,82.0247519240017,{'$numberInt': '0'},{'$numberInt': '0'},175.62,179.19,175.55,177.58,19751000
91,99,0.0013515035476967037,0,facebook,0.02624103875929972,0.04598642550079761,0.05266902941738693,2122,55.683484247234006,{'$numberInt': '0'},{'$numberInt': '0'},178.18,178.79,176.54,177.82,11701500
92,100,-0.0017433359577100568,0,facebook,0.016071937408982627,0.04297621269894509,0.061416042337153504,1594,25.61866822991831,{'$numberInt': '0'},{'$numberInt': '0'},178.24,178.4,177.0,177.51,8071000
93,101,0.008957241845529849,0,facebook,0.09765199236459061,0.03433639309841681,0.02883578227233005,1905,186.02704545454512,{'$numberInt': '0'},{'$numberInt': '0'},178.0,179.63,177.95,179.1,12329800
94,104,0.0,0,facebook,-0.007300499869387754,0.04256743668357625,0.0325506641215302,1996,-14.571797739297956,{'$numberInt': '0'},{'$numberInt': '0'},178.5,180.5,176.87,179.65,10834800
95,105,-0.004341775674923469,0,facebook,0.04541140113785603,0.025265548473170436,-0.0024334999564625845,1959,88.96093482905997,{'$numberInt': '0'},{'$numberInt': '0'},179.0,180.17,178.3,178.87,11215200
96,106,-0.0005031587186224823,0,facebook,0.07684138793188901,0.025439409971620176,0.012703633756156093,1587,121.94728264790785,{'$numberInt': '0'},{'$numberInt': '0'},179.6,180.74,178.36,178.78,9973700
97,107,-0.0027967334153708467,0,facebook,0.06869709802472804,0.03266803128199008,0.03831742973345243,1578,108.40402068302085,{'$numberInt': '0'},{'$numberInt': '0'},178.8,178.88,177.34,178.28,11655600
98,111,0.0,0,facebook,-0.030151861617554163,0.02623562674644076,0.0,1929,-58.16294106026198,{'$numberInt': '0'},{'$numberInt': '0'},178.25,181.67,178.25,181.44,13389900
99,112,0.012896825396825415,1,facebook,-0.008019678866825579,0.0229711464967027,-0.010050620539184721,1840,-14.756209114959066,{'$numberInt': '0'},{'$numberInt': '0'},182.74,184.22,181.48,183.78,19954800
100,113,-0.0065295461965392786,0,facebook,0.023271288566976883,0.01533813506746247,-0.01272384682812658,1896,44.12236312298817,{'$numberInt': '0'},{'$numberInt': '0'},184.49,185.14,181.65,182.58,37289900
101,114,0.058494906342425115,2,facebook,0.057641186382719575,0.007685263729617883,-0.004966750639134286,1624,93.60928668553659,{'$numberInt': '0'},{'$numberInt': '0'},196.98,198.48,192.12,193.26,54148800
102,115,-0.009158646383110742,0,facebook,0.050302056816926746,0.006105847780759532,0.024297598694290296,1345,67.65626641876648,{'$numberInt': '0'},{'$numberInt': '0'},192.5,192.9,189.09,191.49,22075000
103,118,0.0,0,facebook,0.09428840960808799,0.01329185589746335,0.016767352272308914,1306,123.14066294816291,{'$numberInt': '0'},{'$numberInt': '0'},190.95,195.41,190.65,194.78,19641300
104,119,-0.007084916315843492,0,facebook,0.0692371099740503,0.031069037501126516,0.03142946986936266,1742,120.61104557479564,{'$numberInt': '0'},{'$numberInt': '0'},194.19,197.39,192.28,193.4,23494700
105,120,-0.001913133402275101,0,facebook,0.07727351133929103,0.04210572162125164,0.05450850652737943,1334,103.08286412661424,{'$numberDouble': '-0.12423175407780541'},{'$numberDouble': '-1.1180857867002487'},194.78,196.18,193.01,193.03,15996600
106,121,-0.002590270942340569,0,facebook,0.02392193797643032,0.04982032487443938,0.08026634364047644,3122,74.68429036241545,{'$numberInt': '0'},{'$numberInt': '0'},193.0,194.0,189.75,192.53,13209500
107,122,0.015270347478315056,1,facebook,0.07942279661026681,0.04500328938782662,0.05681085309659054,4190,332.78151779701795,{'$numberInt': '0'},{'$numberInt': '0'},194.38,196.16,193.71,195.47,14575400
108,125,0.0,0,facebook,0.05875215432476872,0.04916339507258949,0.026474265536755606,1551,91.12459135771628,{'$numberInt': '0'},{'$numberInt': '0'},191.24,194.28,190.55,193.88,13994900
109,126,-0.021198679595626085,-1,facebook,0.03603178973700403,0.044086787174972455,0.019584051441589572,1563,56.31768735893729,{'$numberInt': '0'},{'$numberInt': '0'},192.54,192.9,187.85,189.77,16253000
110,127,-0.0012119934657744541,0,facebook,0.29427046739767987,0.039343169998251555,0.031594648020590914,1977,581.7727140452131,{'$numberInt': '0'},{'$numberInt': '0'},189.39,190.72,188.55,189.54,12505700
111,128,-0.004695578769652772,0,facebook,0.12524165204706714,0.07034273514944997,0.12968480381981753,2461,308.21970568783223,{'$numberInt': '0'},{'$numberInt': '0'},187.2,189.77,186.26,188.65,12967000
112,129,-0.0016432547044792063,0,facebook,0.029337744694407336,0.08481698001668381,0.15184796972725034,2045,59.995687900063004,{'$numberInt': '0'},{'$numberInt': '0'},188.25,190.0,184.59,188.34,12578500
113,132,0.0,0,facebook,0.1478248660358473,0.07766197260013244,0.009779248231469112,1810,267.56300752488363,{'$numberInt': '0'},{'$numberInt': '0'},183.5,185.43,180.84,181.54,16833300
114,133,-0.004461826594689888,0,facebook,0.11065035731911134,0.0903866457017151,0.04927495534528243,1597,176.7086206386208,{'$numberInt': '0'},{'$numberInt': '0'},182.52,183.49,178.1,180.73,17628100
115,134,0.03065346096386887,1,facebook,0.08632307275177997,0.10104644107058758,0.08615840778498622,1315,113.51484066859067,{'$numberInt': '0'},{'$numberInt': '0'},180.42,187.28,180.02,186.27,16746900
116,135,0.0038653567402158096,0,facebook,0.05581706181585738,0.07133967040688759,0.11493276536891288,1453,81.10219081844077,{'$numberInt': '0'},{'$numberInt': '0'},185.05,188.58,185.05,186.99,12953100
117,136,-0.009037916466121171,0,facebook,0.02512171941013938,0.061421871802429036,0.0842634972955829,2310,58.03117183742197,{'$numberInt': '0'},{'$numberInt': '0'},184.84,187.58,184.28,185.3,10485400
118,139,0.0,0,facebook,0.08686956058382397,0.06081958247610505,0.00837390647004646,1644,142.81355759980661,{'$numberInt': '0'},{'$numberInt': '0'},181.88,184.23,181.37,182.72,10352000
119,140,0.011492994746059514,1,facebook,0.05937944900483782,0.052111681697244575,0.028956520194607992,1927,114.42419823232248,{'$numberInt': '0'},{'$numberInt': '0'},184.57,185.7,183.89,184.82,7502800
120,141,0.0027053349204631534,0,facebook,0.047957740881283635,0.044787266223776934,0.048749669862887264,1424,68.2918230149479,{'$numberInt': '0'},{'$numberInt': '0'},184.73,186.74,183.61,185.32,9213800
121,142,-0.02401251888625075,-1,facebook,0.050970712679935234,0.03930650452799174,0.0647355834899818,1312,66.87357503607502,{'$numberInt': '0'},{'$numberInt': '0'},182.42,183.9,179.67,180.87,12768800
122,143,0.00105047824404267,0,facebook,-0.00032133278059073503,0.03861416893714572,0.05276930085535223,2060,-0.6619455280169142,{'$numberInt': '0'},{'$numberInt': '0'},182.33,183.63,180.83,181.06,8807700
123,147,0.0,0,facebook,0.02379910489266774,0.02256950996935228,0.0,1670,39.744505170755126,{'$numberInt': '0'},{'$numberInt': '0'},181.54,184.71,181.45,184.31,14843300
124,148,-0.011502360154088245,-1,facebook,0.010719790020385275,0.017486603667613697,0.00793303496422258,2100,22.51155904280908,{'$numberInt': '0'},{'$numberInt': '0'},183.5,184.56,181.35,182.19,12797700
125,149,0.004500795872440821,0,facebook,0.05374017971585439,0.012166896401771073,0.011506298304351006,1408,75.66617303992298,{'$numberInt': '0'},{'$numberInt': '0'},183.08,183.48,180.89,183.01,8581500
126,150,-0.030271569859570472,-1,facebook,0.05868591631623912,0.012562534549759521,0.02941969154296913,1362,79.93021802271768,{'$numberInt': '0'},{'$numberInt': '0'},180.28,180.54,177.16,177.47,15226500
127,153,0.0,0,facebook,0.041527002559375484,0.02099214156359236,0.01956197210541304,1614,67.02458213083203,{'$numberInt': '0'},{'$numberInt': '0'},175.0,175.05,161.01,164.15,56059600
128,154,0.020408163265306086,1,facebook,0.07431990943893625,0.026924570500646002,0.013842334186458494,1465,108.8786673280416,{'$numberInt': '0'},{'$numberInt': '0'},163.71,168.28,160.84,167.5,46044300
129,155,0.0039999999999999255,0,facebook,0.09800022767356069,0.03414182829297007,0.038615637332770576,1500,147.00034151034103,{'$numberInt': '0'},{'$numberInt': '0'},167.48,168.72,164.63,168.17,19758300
130,156,0.0009514182077660999,0,facebook,0.11858667716885282,0.046610462243423696,0.07128237989062414,1404,166.49569474506936,{'$numberInt': '0'},{'$numberInt': '0'},168.3,169.7,167.23,168.33,12446400
131,157,0.029822372720251775,1,facebook,0.09857730164439757,0.05587424759385205,0.09696893809378325,1727,170.2429999398746,{'$numberInt': '0'},{'$numberInt': '0'},170.17,173.87,168.84,173.35,16917300
132,160,0.0,0,facebook,0.11119547985577649,0.061573016926446116,0.03285910054813252,1498,166.57082882395318,{'$numberInt': '0'},{'$numberInt': '0'},174.75,177.86,173.8,174.82,14767900
